herd,year,events,trials,season.num,type.otc,type.osc,type.mnka
30,36,8,55,0,0,1,0
30,37,13,83,0,0,1,0
30,38,13,92,0,0,1,0
30,39,26,147,0,0,0,1
30,40,9,66,0,0,1,0
30,41,17,63,0,0,1,0
30,42,17,88,0,0,1,0
30,43,6,77,0,0,1,0
30,44,9,105,0,0,0,1
30,45,13,40,0,0,1,0
30,46,9,57,0,0,1,0
31,17,6,12,0,0,1,0
31,18,31,134,0,0,1,0
31,19,7,57,0,0,1,0
31,20,26,58,9,1,0,0
31,27,13,104,0,0,1,0
31,28,2,69,0,0,1,0
31,29,4,55,0,0,1,0
31,30,5,43,0,0,1,0
31,31,12,78,0,0,1,0
31,32,6,30,0,0,1,0
31,33,3,41,0,0,1,0
31,34,4,35,0,0,1,0
31,39,1,4,5,1,0,0
31,40,6,38,5,1,0,0
31,48,2,30,5,1,0,0
32,34,9,89,0,0,1,0
32,35,10,58,0,0,1,0
32,36,14,95,0,0,1,0
32,37,4,87,0,0,1,0
32,38,8,71,0,0,1,0
32,39,19,122,0,0,1,0
32,40,17,96,0,0,1,0
32,41,17,115,0,0,1,0
32,42,17,118,0,0,1,0
32,43,14,98,0,0,1,0
32,44,14,92,0,0,1,0
32,45,11,80,0,0,1,0
32,46,17,95,0,0,1,0
33,22,7,40,0,1,0,0
33,23,3,44,0,1,0,0
33,24,7,44,0,1,0,0
33,25,5,40,0,1,0,0
33,26,8,44,0,1,0,0
33,27,6,33,0,1,0,0
33,28,7,32,0,1,0,0
33,31,6,28,0,1,0,0
33,33,9,25,0,1,0,0
33,34,3,27,0,1,0,0
33,35,2,28,0,1,0,0
33,37,5,24,0,1,0,0
33,38,4,37,0,1,0,0
33,39,5,41,0,1,0,0
33,40,5,41,0,1,0,0
33,41,3,40,0,1,0,0
33,42,3,33,0,1,0,0
33,43,1,22,0,1,0,0
33,44,4,23,0,1,0,0
33,45,1,17,0,1,0,0
33,46,1,13,0,1,0,0
34,24,14,68,0,1,0,0
34,26,16,64,0,1,0,0
34,35,12,110,0,1,0,0
34,43,12,54,0,1,0,0
34,46,12,55,0,1,0,0
34,48,4,28,0,1,0,0
34,49,2,37,0,1,0,0
34,51,5,32,0,1,0,0
35,15,15,49,0,0,0,1
35,18,6,33,0,0,0,1
35,27,1,3,0,0,0,1
35,42,8,18,0,0,0,1
35,44,3,8,0,0,0,1
35,45,4,11,0,0,0,1
35,49,5,17,0,1,0,0
35,50,7,18,0,1,0,0
37,17,8,81,0,0,1,0
37,18,15,134,0,0,1,0
37,19,12,123,0,0,1,0
37,21,12,83,0,0,1,0
37,24,8,58,0,0,1,0
37,28,8,64,0,0,1,0
37,29,6,67,0,0,1,0
37,30,7,78,0,0,1,0
37,31,7,92,0,0,1,0
37,32,8,108,0,0,1,0
37,33,31,147,0,0,1,0
37,34,21,92,0,0,1,0
37,38,17,107,0,0,1,0
37,39,12,117,0,0,1,0
37,40,5,68,0,0,1,0
37,43,6,56,0,0,1,0
37,47,13,108,0,0,1,0
37,48,7,101,0,0,1,0
37,49,28,87,0,0,1,0
37,50,13,76,0,0,1,0
38,23,19,153,0,1,0,0
38,24,37,179,0,1,0,0
38,25,40,209,0,1,0,0
38,26,40,203,0,1,0,0
38,27,26,205,0,1,0,0
38,28,15,190,0,1,0,0
38,29,20,164,0,1,0,0
38,30,23,128,0,1,0,0
38,31,19,129,0,1,0,0
38,32,27,127,0,1,0,0
38,44,21,159,0,1,0,0
38,46,13,151,0,1,0,0
38,49,30,160,0,1,0,0
38,51,27,175,0,1,0,0
39,26,44,165,0,1,0,0
39,30,17,83,0,1,0,0
39,37,38,163,0,1,0,0
39,39,26,133,0,1,0,0
39,41,15,62,0,1,0,0
39,42,19,147,0,1,0,0
39,44,17,93,0,1,0,0
39,46,11,47,0,1,0,0
39,48,28,95,0,1,0,0
39,49,20,72,0,1,0,0
39,50,23,90,0,1,0,0
39,51,22,102,0,1,0,0
40,29,35,179,0,1,0,0
40,31,10,104,0,0,0,1
40,32,19,112,0,0,0,1
40,33,36,110,0,0,0,1
40,35,39,144,0,0,0,1
40,38,54,295,0,0,0,1
40,39,49,286,0,0,0,1
40,40,28,227,0,0,0,1
40,41,28,199,0,0,0,1
