herd,year,season,sex,mu,tau
18,28,1,1,0.0999902353285812,4444.444444444444
18,29,1,1,0.07506450856204551,4444.444444444444
18,30,1,1,0.06753246753246753,4444.444444444444
18,31,1,1,0.04570000446289105,4444.444444444444
18,34,3,1,0.3466248037676609,2132.6469154803135
18,35,3,1,0.11294117647058824,4444.444444444444
19,8,1,1,0.19423503325942357,648.9830845771145
19,19,1,1,0.22001527883880825,220.9244444444444
19,20,1,1,0.12521739130434784,412.8571428571429
19,21,1,1,0.06926406926406925,680.7272727272729
19,22,1,1,0.17731601731601732,542.2404661016948
19,23,1,1,0.13718320514437018,870.7797537619699
19,25,1,1,0.05936920222634508,904.6153846153844
19,26,1,1,0.11294117647058824,265.1515151515151
19,27,1,1,0.0435374149659864,970.2000000000004
19,28,1,1,0.17142857142857143,288.6494252873564
19,29,1,1,0.10841332580463016,229.23333333333335
19,30,1,1,0.0755608028335301,145.20000000000002
20,12,1,1,0.08374384236453201,2867.1663504111325
20,18,1,1,0.04889228418640183,325.125
20,19,1,1,0.132987012987013,215.7738095238095
20,20,1,1,0.15584415584415584,124.71794871794872
20,21,1,1,0.26811897779639715,187.62380952380948
20,22,1,1,0.20779220779220775,26.666666666666664
20,23,1,1,0.10389610389610388,82.2857142857143
20,24,1,1,0.19556913674560733,233.423076923077
20,25,1,1,0.11873840445269015,392.00000000000017
20,26,1,1,0.128,266.92105263157896
20,27,1,1,0.05037386855568673,614.7580645161289
20,28,1,1,0.13636363636363635,212.28070175438597
20,29,1,1,0.11873840445269015,65.33333333333333
21,10,2,1,0.3225806451612903,187.62380952380948
21,13,2,1,0.08108108108108109,536.8627450980393
21,15,2,1,0.2830188679245283,335.10877192982457
21,17,2,1,0.17142857142857143,288.6494252873564
21,18,2,1,0.5,48
21,20,2,1,0.26666666666666666,97.1590909090909
21,21,2,1,0.16666666666666666,50.399999999999984
21,22,2,1,0.14285714285714285,65.33333333333333
21,23,2,1,0.4,29.166666666666664
21,24,2,1,0,4444.444444444444
21,25,2,1,0.3333333333333333,18
21,26,2,1,0.3333333333333333,18
21,29,2,1,0.2,37.49999999999999
21,30,2,1,0,4444.444444444444
22,10,1,1,0.42857142857142855,40.83333333333335
22,18,1,1,0,4444.444444444444
22,20,1,1,0.16666666666666666,50.399999999999984
22,22,1,1,0.16666666666666666,50.399999999999984
22,24,1,1,0.25,26.666666666666664
23,10,1,1,0.12121212121212122,1389.413793103448
23,11,1,1,0.16216216216216217,316.4892473118279
23,12,1,1,0.10967741935483873,1761.4236999147483
23,13,1,1,0.07471264367816093,2705.0224558050654
23,15,1,1,0.07857142857142857,2085.6941508104296
23,18,1,1,0.1875,498.8717948717949
23,20,1,1,0.22807017543859648,397.6048951048952
23,21,1,1,0.2711864406779661,379.4694767441861
23,22,1,1,0.3703703703703704,317.3294117647058
23,23,1,1,0.18,399.7289972899729
23,24,1,1,0.18055555555555555,574.4980443285526
23,26,1,1,0.18461538461538465,511.51729559748424
23,28,1,1,0.11842105263157894,814.1956882255389
23,30,1,1,0.1904761904761905,324.264705882353
23,31,1,1,0.13157894736842105,376.3151515151516
23,32,1,1,0.06060606060606061,614.7580645161289
23,33,1,1,0.07407407407407407,422.82
23,34,1,1,0.14814814814814814,245.6413043478261
23,35,1,1,0.04347826086956521,577.090909090909
23,36,1,1,0.09090909090909093,145.20000000000002
24,21,1,1,0.09110320284697508,405
24,22,1,1,0.11277533039647576,769.8850746268654
24,23,1,1,0.01859114015976761,4444.444444444444
24,24,1,1,0.01278721278721278,4357.031249999998
24,25,1,1,0.11688311688311688,604.0565656565655
24,26,1,1,0.16127156425663888,511.5669515669514
24,27,1,1,0.11232011232011233,718.7249999999999
24,28,1,1,0.07766990291262135,506.25
24,29,1,1,0.06095238095238095,874.877450980392
24,30,1,1,0.06784452296819789,536.8627450980393
24,31,1,1,0.1434977578475336,251.99999999999997
24,32,1,1,0.17498291182501707,138.38333333333333
26,15,1,1,0.11666666666666668,650.134770889488
26,18,1,1,0.12962962962962962,540.6565349544073
26,21,1,1,0.05555555555555555,362.1176470588235
26,22,1,1,0.1,366.66666666666663
26,23,1,1,0.09090909090909093,580.8000000000001
26,24,1,1,0.17647058823529413,275.23809523809524
26,25,1,1,0,4444.444444444444
26,26,1,1,0,4444.444444444444
26,28,1,1,0.05882352941176471,650.25
26,30,1,1,0.05405405405405406,762.7285714285714
26,32,1,1,0.19230769230769232,199.5809523809524
26,33,1,1,0.3333333333333333,90
26,34,1,1,0.15384615384615383,115.22727272727278
27,5,1,1,0.25196850393700787,843.589144736842
27,9,1,1,0.17692307692307693,1050.6704591629418
27,15,1,1,0.11206896551724138,2592.7169529499624
27,18,1,1,0.102803738317757,2558.678030303031
27,21,1,1,0.2011173184357542,1338.1536519036515
27,22,1,1,0.21511627906976744,1237.8490490490494
27,26,1,1,0.16666666666666666,554.4
27,27,1,1,0.10135135135135136,1789.6501253132826
27,30,1,1,0.06140350877192982,2099.4873164218952
27,32,1,1,0.1792452830188679,849.6672716273442
27,34,1,1,0.15126050420168066,1067.1380638063806
27,36,1,1,0.17030812324929973,798.277742549144
28,10,1,1,0.15384615384615383,115.22727272727278
28,12,1,1,0.08333333333333333,170.18181818181822
28,13,1,1,0.07032967032967034,197.16666666666663
28,19,1,1,0.2,37.49999999999999
28,20,1,1,0.18285714285714288,37.49999999999999
29,10,1,1,0.05882352941176471,975.375
29,11,1,1,0.01612903225806451,3970.0327868852455
29,12,1,1,0.02031746031746032,2117.045454545454
29,13,1,1,0.12,265.1515151515151
29,14,1,1,0,4444.444444444444
29,16,1,1,0.08333333333333333,170.18181818181822
29,18,1,1,0.18181818181818185,87.38888888888886
29,19,1,1,0.125,82.2857142857143
29,20,1,1,0.1,122.22222222222224
29,21,1,1,0.1111111111111111,101.25000000000004
29,22,1,1,0.14285714285714285,130.66666666666666
29,23,1,1,0.07142857142857142,226.15384615384613
29,25,1,1,0.07692307692307693,197.16666666666663
29,26,1,1,0.07142857142857142,226.15384615384613
29,27,1,1,0.07142857142857142,226.15384615384613
29,28,1,1,0.4,58.33333333333334
30,18,1,1,0.20948157533523384,816.9235624123421
30,19,1,1,0.2401154401154401,282.3317307692308
30,20,1,1,0.13653333333333334,611.939423076923
30,21,1,1,0.12089728453364816,506.8484042553192
30,22,1,1,0.13018306994210607,726.7516483516482
30,23,1,1,0.11744776962168264,865.3554040895812
30,24,1,1,0.16171039844509233,1188.2889383343927
30,25,1,1,0.11334120425029516,636.8421052631578
30,26,1,1,0.21333333333333332,406.0358056265984
30,27,1,1,0.16056670602125145,673.6702568351285
30,28,1,1,0.06476640242874009,1155.1807511737088
30,29,1,1,0.07836734693877552,1454.6874999999998
30,30,1,1,0.2701298701298701,241.59544159544163
30,31,1,1,0.1312371838687628,496.37500000000006
31,2,1,1,0.4155844155844156,1012
31,3,1,1,0.1922853266136848,1692.6890072032572
31,4,1,1,0.10207336523125995,1373.8628571428571
31,5,3,1,0.4482758620689655,598.4038461538462
31,12,1,1,0.10389610389610388,2898.2857142857147
31,13,1,1,0.0240918501788067,4444.444444444444
31,14,1,1,0.06044864226682408,3914.7058823529424
31,15,1,1,0.09664753850800362,2569.136842105263
31,16,1,1,0.12787212787212787,1958.863636363636
31,17,1,1,0.16623376623376623,581.2499999999998
31,18,1,1,0.06081723154893886,648.8070175438595
31,19,1,1,0.09499072356215212,385.282258064516
31,24,2,1,0.25,26.666666666666664
31,25,2,1,0.15789473684210523,330.91666666666674
31,33,2,1,0.06666666666666667,514.2857142857142
32,19,1,1,0.08533333333333333,1078.1361111111112
