herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max,herd_num,trt
Brazeau,2010,6,0.6666666666666666,0.2721655269759087,0,9,6.39091846299028,15.20908153700972,4,NA
Brazeau,2009,9,1,0.2660143840874611,0,9,7.108923968890898,12.261820674524545,4,NA
Brazeau,2008,13,1,0.2134087469934013,0,13,10.713619818722716,16.527008087504047,4,NA
Brazeau,2007,20,1,0.17113224782677797,0,20,17.077490639603834,24.129301625695614,4,NA
Brazeau,2006,17,0.8,0.17888543819998315,0,21.25,17.366690050329417,27.370152054933737,4,NA
Brazeau,2005,24,1,0.271280571925563,0,24,18.878602041127763,32.93448627192146,4,NA
Brazeau,2004,17,0.5,0.3535533905932738,0,34,19.91673887931477,116.08326112068524,4,NA
Brazeau,2003,16,1,0,0,16,16,16,4,NA
Brazeau,2001,6,NA,NA,0,7.422334276986635,6.804858795685681,8.163052800017825,4,NA
Brazeau,2000,14,NA,NA,0,17.31877997963548,15.878003856599925,19.04712320004159,4,NA
Brazeau,1998,16,NA,NA,0,19.79289140529769,18.14629012182848,21.768140800047533,4,NA
Brazeau,1996,8,NA,NA,0,9.896445702648846,9.07314506091424,10.884070400023766,4,NA
Brazeau,1993,31,NA,NA,0,38.34872709776428,35.15843711104269,42.1757728000921,4,NA
Brazeau,1988,39,0.99,0.07335189537830897,1,39.39393939393939,36.67647574571253,42.54631608723574,4,NA
Burnt Pine,2014,1,NA,NA,0,1.2370557128311055,1.13414313261428,1.3605088000029708,5,NA
Burnt Pine,2012,1,1,0,0,1,1,1,5,NA
Burnt Pine,2011,5,NA,NA,0,6.185278564155529,5.670715663071401,6.802544000014854,5,NA
Burnt Pine,2008,13,1,0,0,13,13,13,5,NA
Burnt Pine,2002,20,NA,NA,0,24.741114256622115,22.682862652285603,27.210176000059416,5,NA
Central Rockies,2008,3,NA,NA,0,3.711167138493317,3.4024293978428406,4.081526400008912,6,NA
Central Rockies,2006,2,0.99,0.07335189537830897,1,2.0202020202020203,1.88084491003654,2.1818623634479866,6,NA
Central Rockies,2004,1,0.99,0.07335189537830897,1,1.0101010101010102,0.94042245501827,1.0909311817239933,6,NA
Central Rockies,2002,5,1,0,0,5,5,5,6,NA
Central Rockies,1997,21,0.99,0.07335189537830897,1,21.21212121212121,19.748871555383676,22.90955481620386,6,NA
Central Rockies,1995,25,0.99,0.07335189537830897,1,25.252525252525253,23.510561375456756,27.273279543099832,6,NA
Chase,2019,487.88235294117646,0.8529411764705882,0.060738718621252456,0,572,533.9751433319389,615.8556415814148,8,NA
Chase,2009,475,1,0.05434267168139292,0,475,450.5176663697988,502.2961127415542,8,NA
Chase,2008,538.2857142857142,0.8571428571428571,0.13226001425322165,0,628,544.0510936926796,742.5830526487838,8,NA
Chase,2007,436.3333333333333,0.7777777777777778,0.13857990321384966,0,561,476.1605019354009,682.6263833105006,8,NA
Chase,2002,575,1,0.09500771793105296,0,575,525.1104540947216,635.364534474774,8,NA
Columbia North,2004,136,0.99,0.07335189537830897,1,137.37373737373738,127.89745388248473,148.3666407144631,9,NA
Columbia North,2002,152,0.99,0.07335189537830897,1,153.53535353535355,142.94421316277706,165.82153962204697,9,NA
Columbia North,1997,203,0.8823529411764706,0.07814248990059665,0,230.06666666666663,211.34926146641075,252.4214895217316,9,NA
Columbia North,1996,193,0.99,0.07335189537830897,1,194.94949494949492,181.50153381852613,210.5497180727307,9,NA
Columbia North,1994,209,0.99,0.07335189537830897,1,211.11111111111111,196.54829309881845,228.0046169803146,9,NA
Columbia South,2004,40,0.99,0.07335189537830897,1,40.4040404040404,37.6168982007308,43.63724726895973,10,NA
Columbia South,2002,29,0.6666666666666666,0.2721655269759087,0,43.5,30.889439237786352,73.51056076221366,10,NA
Columbia South,1997,93,1,0.10284789156764929,0,93,84.32713224650105,103.66135143181532,10,NA
Columbia South,1996,94,0.99,0.07335189537830897,1,94.94949494949496,88.39971077171738,102.54753108205536,10,NA
Columbia South,1994,117,0.99,0.07335189537830897,1,118.1818181818182,110.0294272371376,127.6389482617072,10,NA
Duncan,2019,0,NA,NA,0,0,0,0,11,NA
Duncan,2018,0,NA,NA,0,0,0,0,11,NA
Duncan,2017,0,NA,NA,0,0,0,0,11,NA
Duncan,2016,0,NA,NA,0,0,0,0,11,NA
Duncan,2015,1,NA,NA,0,1.2370557128311055,1.13414313261428,1.3605088000029708,11,NA
Duncan,2012,2,NA,NA,0,2.4741114256622114,2.2682862652285603,2.7210176000059416,11,NA
Duncan,2010,7,NA,NA,0,8.65938998981774,7.9390019282999615,9.523561600020797,11,NA
Duncan,2008,15,0.99,0.07335189537830897,1,15.151515151515152,14.10633682527405,16.3639677258599,11,NA
Duncan,2007,16,0.99,0.07335189537830897,1,16.161616161616163,15.04675928029232,17.454898907583893,11,NA
Duncan,2002,17,0.6666666666666666,0.15713484026367724,0,25.5,20.63603896932107,33.36396103067894,11,NA
Duncan,1999,26,0.8235294117647058,0.09245944094039717,0,31.571428571428573,28.384624903694696,35.564311266518075,11,NA
Duncan,1997,24,0.9565217391304348,0.04252257799320223,0,25.09090909090909,24.02295832991548,26.2582297888964,11,NA
Duncan,1996,42,0.99,0.07335189537830897,1,42.42424242424242,39.49774311076735,45.81910963240772,11,NA
Duncan,1995,36,0.99,0.07335189537830897,1,36.36363636363637,33.85520838065772,39.27352254206376,11,NA
Frisby-Boulder,2004,16,0.5,0.3535533905932738,0,32,18.74516600406096,109.25483399593908,12,NA
Frisby-Boulder,2002,20,1,0.17604076332017643,0,20,17.00621324003802,24.27304544893603,12,NA
Frisby-Boulder,1997,35,1,0.21030612488980377,0,35,28.91830362602411,44.32097183875966,12,NA
Frisby-Boulder,1996,20,0.75,0.21650635094610965,0,26.666666666666668,20.693086993605444,37.48873118821273,12,NA
Frisby-Boulder,1994,36,0.5,0.3535533905932738,0,72,42.17662350913716,245.82337649086287,12,NA
George Mountain,2010,0,NA,NA,0,0,0,0,13,NA
George Mountain,2009,0,NA,NA,0,0,0,0,13,NA
George Mountain,2007,0,NA,NA,0,0,0,0,13,NA
George Mountain,2006,0,NA,NA,0,0,0,0,13,NA
George Mountain,2005,0,NA,NA,0,0,0,0,13,NA
George Mountain,2004,0,NA,NA,0,0,0,0,13,NA
George Mountain,2002,3,NA,NA,0,3.711167138493317,3.4024293978428406,4.081526400008912,13,NA
George Mountain,1999,6,0.99,0.07335189537830897,1,6.0606060606060606,5.64253473010962,6.54558709034396,13,NA
Graham,2019,80,0.99,0.07335189537830897,1,80.8080808080808,75.2337964014616,87.27449453791947,14,NA
Graham,2016,76,0.2608695652173913,0.09156053715170008,0,291.3333333333333,215.64559749327847,448.88332812655625,14,NA
Graham,2015,189,NA,NA,0,233.803529725079,214.35305206409896,257.1361632005615,14,NA
Graham,2009,190,0.99,0.07335189537830897,1,191.91919191919192,178.68026645347132,207.27692452755872,14,NA
Graham,2002,113,NA,NA,0,139.78729554991494,128.15817398541367,153.7374944003357,14,NA
Graham,1989,581,0.3333333333333333,0.15713484026367724,0,1743,1184.582468907298,3297.4175310927026,14,NA
Graham,1988,209,0.125,0.11692679333668568,0,1672,863.89769862794,25888.10230137205,14,NA
Groundhog,2017,13,NA,NA,0,16.081724266804375,14.743860723985645,17.68661440003862,15,NA
Groundhog,2013,11,NA,NA,0,13.607612841142164,12.475574458757082,14.965596800032678,15,NA
Groundhog,2011,6,NA,NA,0,7.422334276986635,6.804858795685681,8.163052800017825,15,NA
Groundhog,2010,9,NA,NA,0,11.133501415479952,10.20728819352852,12.244579200026736,15,NA
Groundhog,2008,23,NA,NA,0,28.45228139511543,26.085292050128444,31.291702400068328,15,NA
Groundhog,2006,23,NA,NA,0,28.45228139511543,26.085292050128444,31.291702400068328,15,NA
Groundhog,1999,24,NA,NA,0,29.68933710794654,27.219435182742725,32.6522112000713,15,NA
