herd,year,age,sex,mu,tau
36,64,NA,NA,0.8,2089.5539776708947
36,65,NA,NA,0.8,3443.240362314815
36,66,NA,NA,0.8,1260.0934588748953
36,67,NA,NA,0.8,784.7581773942059
36,68,NA,NA,0.8,1177.3517370688353
36,69,NA,NA,0.8,1859.4921092446039
36,70,NA,NA,0.8,57.19662284332297
38,44,NA,NA,0.8666666666666667,129.80769230769232
38,45,NA,NA,0.9473684210526316,381.0555555555553
38,46,NA,NA,0.8235294117647058,116.97619047619041
38,47,NA,NA,1,275.6530408773675
38,49,NA,NA,1,182.89567760805897
38,50,NA,NA,0.875,73.14285714285712
38,51,NA,NA,0.7777777777777778,52.071428571428584
38,52,NA,NA,0.7142857142857143,34.3
40,58,NA,NA,1,123.32358924727201
40,59,NA,NA,0.9166666666666666,157.09090909090904
40,60,NA,NA,1,374.12081778987687
40,61,NA,NA,1,95.3434090049489
40,67,NA,NA,0.75,149.33333333333337
40,69,NA,NA,0.8787878787878788,309.8017241379311
40,70,NA,NA,0.9583333333333334,601.04347826087
