herd,year,events,trials,dist.hum_scale,dist.nat_scale,dist.all_scale,dist.hum.es_scale,dist.cuts_scale,grow.seas.length_scale,snow.depth_scale,cooler.winter_scale,warm.dry.summer_scale,start.spring_scale,rain.on.snow_scale,greenness_scale,season.num,type.otc,type.osc,type.mnka
20,39,8,34,0.9088591263829164,-0.3787522506626041,0.8004907329934913,0.8262084461775656,0.8974300251371077,0.3359213210208843,0.22078840211408043,0.6030133073703259,0.03529248194756612,0.02390443418651955,-1.138018635513542,0.4196590522962677,9,0,1,0
20,40,6,42,0.982612434076985,-0.43213745327106867,0.8579272335408789,0.9016208148488284,0.9725231359324321,0.18747093650316424,-0.03838021793464995,0.20166161450106368,0.43498005784621757,-1.1469033850720067,-0.8335935164246265,0.8047719255559901,9,0,1,0
20,41,2,21,0.9336015164350588,-0.4302679325546665,0.8085973862236354,0.9463810498206349,1.0183066880055684,-0.3195019694424738,0.22156381335680728,0.09744077346837678,0.9348309087633447,0.6504128696964302,-0.7198697629619111,0.6664438596714011,9,0,1,0
20,42,2,33,0.9850832883498206,-0.42995634577081915,0.8611698948328166,0.9978400954687326,1.0695141929007534,0.10037579992253756,1.1035628841446365,0.5502176949509158,0.6128849073641435,0.7561309530293219,-0.5150797318098368,0.5413386290682662,9,0,1,0
20,43,3,22,1.062830579664627,-0.42933317220242145,0.9406150964919399,1.0755530657879262,1.1469318549056182,0.0590454006425004,-0.2884372523671432,-0.9553303538222901,-0.7949372644504165,-0.38693524152482583,-0.20169476549787552,0.3349015598671963,9,1,0,0
20,44,1,7,1.1027704158638714,-0.43037179481824084,0.9809758806615998,1.115475270827006,1.1866850494943744,0.04329942907370239,0.6821970299581598,-0.1324710152849268,0.04669180272593874,0.4509005225417509,-1.1215327433112663,0.8655439392978344,9,0,1,0
21,25,10,31,-0.7511487774857865,-0.5762982727587032,-0.9569626945864711,-0.7347836032356344,-0.655740763112501,-1.119098258567269,-0.17862304801666212,0.6674239343695082,-3.00339026913639,-0.9059325054291523,-0.7424795724330403,-2.853072372943515,5,1,0,0
21,28,3,37,-0.7445067533052838,-0.5762982727587032,-0.9501932986867099,-0.7347836032356344,-0.655740763112501,-1.827966876563097,0.33798561111396935,1.2254710346830668,0.4900067575430628,2.19547074979542,-0.9736913060091847,-1.6388035751575818,5,1,0,0
21,30,15,53,-0.7445067533052838,-0.5755434061892408,-0.9499425803200571,-0.7347836032356344,-0.655740763112501,-0.3499040883056454,-0.32573621635322725,0.3940261130808364,-0.5147639705728123,-1.007974105296399,-0.8758931020881494,-1.7918379364878496,5,1,0,0
21,32,6,35,-0.7445067533052838,-0.5755434061892408,-0.9499425803200571,-0.7347836032356344,-0.655740763112501,-1.5950512495502738,-0.9081306407092773,0.40729497910840173,-0.3900702534218903,1.3231095538932602,-0.9081360759628758,-1.8548174621122293,5,1,0,0
21,33,4,8,-0.7445067533052838,-0.5755434061892408,-0.9499425803200571,-0.7347836032356344,-0.655740763112501,-0.9645537948527734,-0.21905858175312126,0.16695937848263512,-0.677291673593876,-0.17983093600338193,-0.804909208073134,-1.7535793461552829,5,1,0,0
21,35,4,15,-0.7445067533052838,-0.5747885396197429,-0.9496918619533923,-0.7347836032356344,-0.655740763112501,-0.9668094962318408,-1.0495422361866482,-0.016669408004448365,0.8650578691532831,0.7747304375696216,-0.9804771359700674,-1.4666399186610304,5,1,0,0
21,36,1,6,-0.7445067533052838,-0.5747885396197429,-0.9496918619533923,-0.7347836032356344,-0.655740763112501,-1.121700990927728,-0.26598771916914793,-0.13460575270586034,-1.4109822580446467,1.609298448335763,-0.8112837756121416,-2.0113833856270418,5,1,0,0
21,37,1,7,-0.7445067533052838,-0.5747885396197429,-0.9496918619533923,-0.7347836032356344,-0.655740763112501,-0.8423988894017925,-1.0111838163896874,-0.4722951006266609,-2.273918445760184,-0.46913776821960657,-1.091435737390989,-2.4957959986070817,5,1,0,0
21,38,2,5,-0.7445067533052838,-0.5747885396197429,-0.9496918619533923,-0.7347836032356344,-0.655740763112501,-0.490393797273648,-0.6718694205650872,-0.31111972227383505,-0.1617369124070834,0.4244820943215641,-0.9412427009235287,-2.2165082891793424,5,1,0,0
21,39,0,5,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-1.0091472759620113,-0.17526085095801608,0.5493957281015751,-0.7589565555288095,0.24704309010795436,-1.0311035401024444,-1.7718257507754305,5,1,0,0
21,40,1,3,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-1.328994163814238,-0.5141870992282636,0.5469637923729802,-1.5049301372326909,-0.7305721263980223,-0.9335109673923425,-2.245055083504412,5,1,0,0
21,41,1,3,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-1.352765786039783,-0.5217822027242317,0.20559849129567329,-0.41163156984810695,0.5770720793082408,-0.811818416760575,-1.7727086413215662,5,1,0,0
21,43,1,1,-0.7445067533052838,-0.5740336730502816,-0.9494411435867398,-0.7347836032356344,-0.655740763112501,-1.3576820582762108,-0.10018577061426392,-0.3420480220562827,-1.2395258399533653,-0.2316075996397277,-0.2477308789216593,-2.4154529589086913,5,1,0,0
