herd,year,age,sex,mu,tau
10,17,2,1,0.75,21.333333333333336
10,18,2,1,0.5,7.999999999999998
10,19,2,1,0.75,21.333333333333336
10,20,2,1,0.8333333333333334,43.2
11,7,2,1,1,13.781443564444462
11,8,2,1,0.6666666666666666,13.5
11,12,2,1,1,22.512676056338023
11,13,2,1,0.75,21.333333333333336
11,14,2,1,0.5,7.999999999999998
12,10,2,1,1,20.057245466602996
12,11,2,1,1,21.363528831541863
12,12,2,1,1,22.619753509217645
12,13,2,1,0.5,16
12,16,2,1,1,20.119047768892862
12,17,2,1,1,34.41011622972603
12,18,2,1,1,20.528126641486026
12,19,2,1,0.6666666666666666,13.5
14,30,2,1,1,138.40830449826987
14,31,2,1,0.896551724137931,138.40830449826987
14,32,2,1,0.8076923076923077,138.40830449826987
14,33,2,1,0.6190476190476191,89.04807692307693
14,34,2,1,0.7304347826086954,112.6323779900763
14,35,2,1,0.8571428571428571,138.40830449826987
14,36,2,1,0.894736842105263,138.40830449826987
15,13,2,1,1,21.74696836322235
15,14,2,1,1,31.464804773327337
15,15,2,1,0.8333333333333334,43.2
15,16,2,1,1,31.827287741619617
15,17,2,1,0.5,16
15,18,2,1,0.6666666666666666,13.5
15,19,2,1,1,13.769265639165974
15,20,2,1,0.6666666666666666,13.5
15,33,2,1,1,13.04525721979754
16,18,2,1,1,133.60117156199155
16,19,2,1,1,138.40830449826987
16,20,2,1,0.625,34.13333333333335
16,21,2,1,0.6666666666666666,13.5
16,22,2,1,1,138.40830449826987
17,3,2,1,1,138.40830449826987
17,4,2,1,0.9230769230769232,138.40830449826987
17,5,2,1,0.9375,138.40830449826987
17,6,2,1,0.9375,138.40830449826987
17,7,2,1,1,138.40830449826987
17,33,2,1,1,138.40830449826987
17,34,2,1,0.9398148148148148,138.40830449826987
17,35,2,1,0.8201720912832023,138.40830449826987
17,36,2,1,0.9473684210526316,138.40830449826987
18,12,2,1,0.9545454545454546,138.40830449826987
18,13,2,1,0.7867494824016562,138.40830449826987
18,14,2,1,0.9473684210526316,138.40830449826987
18,15,2,1,0.8623188405797102,138.40830449826987
18,16,2,1,0.9047619047619048,138.40830449826987
18,17,2,1,0.894736842105263,138.40830449826987
18,18,2,1,0.8666666666666667,129.8076923076923
18,28,2,1,0.96,138.40830449826987
18,29,2,1,0.9166666666666669,138.40830449826987
18,30,2,1,0.6954545454545454,109.25395799345377
18,31,2,1,0.9411764705882352,138.40830449826987
18,34,2,1,0.9666666666666668,138.40830449826987
18,35,2,1,0.8846153846153847,138.40830449826987
19,18,2,1,1,22.077348066298335
19,19,2,1,0.875,73.14285714285712
19,20,2,1,0.7142857142857143,34.3
19,21,2,1,1,138.40830449826987
19,22,2,1,0.9,111.11111111111116
19,23,2,1,0.8461538461538461,99.8636363636364
19,24,2,1,0.875,138.40830449826987
19,25,2,1,0.9444444444444444,138.40830449826987
19,26,2,1,0.6923076923076923,61.02777777777778
19,27,2,1,1,56.55152495378895
19,28,2,1,0.8571428571428571,57.166666666666686
19,29,2,1,0.6666666666666667,26.999999999999993
19,30,2,1,1,74.5456326165128
20,18,2,1,1,85.94543268515886
20,19,2,1,1,88.33951965065596
20,20,2,1,1,85.23899763936073
20,21,2,1,0.8888888888888888,91.125
20,22,2,1,0.8571428571428571,57.166666666666686
20,23,2,1,0.4,20.833333333333332
20,24,2,1,0.625,21.94285714285715
20,25,2,1,0.8,31.25
20,26,2,1,0.6666666666666666,13.5
20,27,2,1,0.6000000000000001,20.833333333333332
20,28,2,1,0.6666666666666666,13.5
20,29,2,1,1,138.40830449826987
21,18,2,1,1,22.530954690001593
21,19,2,1,1,58.487294955141095
21,20,2,1,0.7142857142857143,34.3
21,21,2,1,0.75,21.333333333333336
21,22,2,1,0.75,21.333333333333336
21,23,2,1,0.6666666666666666,13.5
23,10,2,1,1,109.69451340765497
23,11,2,1,0.9090909090909092,133.10000000000002
23,12,2,1,0.7857142857142857,83.15151515151514
23,13,2,1,0.7333333333333334,76.70454545454545
23,14,2,1,0.9285714285714286,138.40830449826987
23,15,2,1,0.8461538461538461,99.8636363636364
23,16,2,1,1,104.01915868388215
23,32,2,1,1,63.03602058319007
23,33,2,1,0.8571428571428571,57.166666666666686
23,34,2,1,0.8333333333333334,43.2
23,35,2,1,0.8,31.25
23,36,2,1,1,90.4487731923158
24,18,2,1,0.644695423,14.373387463005374
24,19,2,1,0.887731449,82.48129434223087
24,20,2,1,0.832061931,35.13503077778093
24,21,2,1,0.889321087,83.0190162890073
24,22,2,1,0.954389738,138.40830449826987
24,23,2,1,0.950880737,138.40830449826987
24,24,2,1,0.843670515,138.40830449826987
24,25,2,1,0.892402816,138.40830449826987
24,26,2,1,0.846461636,138.40830449826987
24,27,2,1,0.782119606,126.9434884779524
24,28,2,1,0.811605774,137.30516865786942
24,29,2,1,0.760654953,105.206811003767
24,30,2,1,0.609929669,46.32360781583323
24,31,2,1,0.866,129.1322314049587
24,32,2,1,0.878,138.40830449826987
25,22,2,1,1,21.525649243962754
25,23,2,1,0.75,21.333333333333336
25,24,2,1,0.8333333333333334,43.2
25,25,2,1,0.5333333333333333,16.225961538461537
25,26,2,1,1,63.424133588319606
25,27,2,1,0.8333333333333334,43.2
25,28,2,1,1,33.05184673471592
25,29,2,1,0.4166666666666666,20.329411764705885
25,30,2,1,1,20.572064001977047
25,31,2,1,0.6666666666666666,13.5
27,3,2,1,1,77.22074872820531
27,4,2,1,1,76.50125456027038
27,5,2,1,0.875,73.14285714285712
27,6,2,1,0.8571428571428571,57.166666666666686
27,7,2,1,1,44.42638159203201
27,11,2,1,1,21.661471744139018
27,12,2,1,1,61.05564868586493
27,13,2,1,0.6666666666666666,13.5
27,33,2,1,1,138.40830449826987
27,34,2,1,0.8511904761904762,105.59957240212016
27,35,2,1,0.9285714285714286,138.40830449826987
27,36,2,1,0.9090909090909092,133.10000000000002
28,10,2,1,1,13.480265377262873
28,11,2,1,1,12.776824083126948
28,12,2,1,0.6666666666666666,13.5
29,8,2,1,1,56.17357336956552
29,9,2,1,0.2857142857142857,34.30000000000001
29,10,2,1,0.6666666666666667,26.999999999999993
29,11,2,1,0.75,21.333333333333336
29,12,2,1,0.6666666666666666,13.5
29,13,2,1,0.5,16
29,27,2,1,1,21.369441057562774
29,28,2,1,1,22.110360911803124
30,18,2,1,0.5,7.999999999999998
30,19,2,1,1,109.7942155263746
30,20,2,1,1,68.9548066469953
30,21,2,1,1,138.40830449826987
30,22,2,1,1,138.40830449826987
30,23,2,1,0.8235294117647058,116.97619047619048
30,24,2,1,0.8441558441558441,96.21348788198104
30,25,2,1,0.9090909090909092,133.10000000000002
30,26,2,1,0.9,111.11111111111116
30,27,2,1,0.9090909090909092,133.10000000000002
30,28,2,1,0.9411764705882352,138.40830449826987
30,29,2,1,0.7810650887573966,80.36645021645022
30,30,2,1,0.6545454545454545,51.63718187461205
30,31,2,1,0.6470588235294118,74.43939393939392
31,12,2,1,1,33.84586612892745
31,13,2,1,1,44.65935506944016
31,14,2,1,1,31.345109974585217
31,15,2,1,0.8,31.25
31,16,2,1,1,21.06064818413854
31,17,2,1,1,20.9817748397226
31,18,2,1,1,21.008607693429855
31,19,2,1,0.5,13.261140183717869
31,28,2,1,0.75,21.333333333333336
31,29,2,1,1,13.3448312712246
31,30,2,1,1,13.813627417692176
31,31,2,1,0.6666666666666666,13.5
32,10,2,1,0.912272746,138.40830449826987
32,11,2,1,0.904828824,138.40830449826987
32,12,2,1,1,138.40830449826987
32,13,2,1,1,138.40830449826987
32,14,2,1,0.909475568,138.40830449826987
32,15,2,1,0.89958996,138.40830449826987
32,17,2,1,1,138.40830449826987
32,18,2,1,0.830917553,138.40830449826987
32,19,2,1,0.942781478,138.40830449826987
32,20,2,1,0.622622624,92.78129890197604
32,21,2,1,0.851821672,138.40830449826987
32,22,2,1,0.729851412,93.7166369207304
32,23,2,1,0.835003439,108.23718480496744
32,24,2,1,0.848011143,138.40830449826987
32,25,2,1,0.796477082,118.71510345781962
32,26,2,1,0.84488705,138.40830449826987
32,27,2,1,0.688806707,70.20415622828048
32,28,2,1,0.915670946,138.40830449826987
32,29,2,1,0.518391849,62.61612169638394
32,30,2,1,0.76530454,88.05326015086202
32,31,2,1,0.774,126.24668602449186
34,11,2,1,1,93.36330103113843
34,12,2,1,1,88.94631607989413
34,13,2,1,1,40.36730611873792
34,14,2,1,1,13.01385626137144
34,27,2,1,1,31.49913164556021
34,28,2,1,1,32.62897426785726
35,13,2,1,0.4545454545454545,9.50714285714286
35,14,2,1,1,138.40830449826987
35,15,2,1,1,138.40830449826987
36,19,2,1,0.7,138.40830449826987
36,20,2,1,0.72,138.40830449826987
36,21,2,1,0.71,138.40830449826987
36,22,2,1,0.7,138.40830449826987
36,23,2,1,0.71,138.40830449826987
36,24,2,1,0.71,138.40830449826987
36,25,2,1,0.7,138.40830449826987
36,26,2,1,0.7,138.40830449826987
36,27,2,1,0.7,138.40830449826987
36,28,2,1,0.71,138.40830449826987
36,29,2,1,0.7,138.40830449826987
36,30,2,1,0.7,138.40830449826987
36,31,2,1,0.7,138.40830449826987
36,32,2,1,0.71,138.40830449826987
36,33,2,1,0.71,138.40830449826987
36,34,2,1,0.7,138.40830449826987
36,35,2,1,0.67,138.40830449826987
37,1,2,1,0.706,81.90244936501509
37,2,2,1,0.917,138.40830449826987
37,3,2,1,0.7,95.2380952380952
37,6,2,1,0.893,138.40830449826987
37,7,2,1,0.739,108.87654954660694
37,8,2,1,0.909,138.40830449826987
37,9,2,1,0.789,138.40830449826987
37,10,2,1,0.92,138.40830449826987
37,11,2,1,0.82,138.40830449826987
37,12,2,1,1,138.40830449826987
37,13,2,1,0.941,138.40830449826987
37,14,2,1,0.933,138.40830449826987
37,15,2,1,0.598,138.40830449826987
37,16,2,1,0.827,138.40830449826987
37,17,2,1,0.944,138.40830449826987
37,18,2,1,0.941,138.40830449826987
37,22,2,1,0.833,64.69653729755373
37,23,2,1,0.752,138.40830449826987
37,24,2,1,0.824,138.40830449826987
37,30,2,1,0.875,138.40830449826987
37,31,2,1,0.7521367521367521,84.45544188989662
37,32,2,1,0.8482142857142856,138.40830449826987
37,33,2,1,0.894736842105263,138.40830449826987
37,34,2,1,0.8020050125313283,126.92055426790282
37,35,2,1,0.8458646616541353,138.40830449826987
37,36,2,1,0.8586666666666667,138.40830449826987
38,1,2,1,0.7222222222222222,89.7230769230769
38,2,2,1,0.8499999999999999,138.40830449826987
38,3,2,1,0.7287784679089027,111.69212217693334
38,4,2,1,0.5,40
38,8,2,1,1,138.40830449826987
38,9,2,1,1,138.40830449826987
38,10,2,1,0.8444444444444443,138.40830449826987
38,11,2,1,0.7298245614035088,93.28907811593268
38,12,2,1,0.6932773109243697,76.14601937360558
38,13,2,1,0.7647058823529411,94.48076923076924
38,14,2,1,0.6923076923076924,61.02777777777776
38,15,2,1,0.8888888888888888,91.125
