herd,year,est,sd,season_int,herd_num,trt
Frisby-Boulder,1996,0.3333333333333333,0.10540925533894598,1,12,NA
Frisby-Boulder,1994,0.09090909090909093,0.04791329788133908,1,12,NA
Graham,2020,0.1022977022977023,0.03845099960986465,1,14,NA
Graham,2019,0.13540298507462686,0.039115929315077375,1,14,NA
Graham,2018,0.17454545454545453,0.06495058598845396,1,14,NA
Graham,2017,0.12571428571428572,0.044712433894364176,1,14,NA
Graham,2016,0.11107438016528928,0.026534761488497725,1,14,NA
Graham,2015,0.13292307692307692,0.02481817940513581,1,14,NA
Graham,2009,0.09074626865671642,0.0229184609861914,1,14,NA
Graham,2003,0.041558441558441565,0.02507624019851684,1,14,NA
Graham,2002,0.19934426229508195,0.05014920321232756,1,14,NA
Graham,2001,0.16761904761904764,0.05559500047093949,1,14,NA
Graham,1999,0.11294117647058824,0.03535470845157284,1,14,NA
Graham,1995,0.2122133185962973,0.05676763238699571,1,14,NA
Graham,1994,0.0726264027234901,0.026683263533385564,1,14,NA
Graham,1989,0.0470472923303112,0.03087989012773477,1,14,NA
Graham,1988,0.20114942528735635,0.027728031003304288,1,14,NA
Groundhog,2017,0.18181818181818185,0.1069724373481004,1,15,NA
Groundhog,2015,0.16666666666666666,0.09960238411119948,1,15,NA
Groundhog,2013,0.2222222222222222,0.12535023884839247,1,15,NA
Groundhog,2011,0.5,0.2041241452319315,1,15,NA
Groundhog,2010,0.125,0.1102396379610246,1,15,NA
Groundhog,2008,0.21052631578947367,0.08500766874602614,1,15,NA
Groundhog,2006,0.21052631578947367,0.08500766874602614,1,15,NA
Groundhog,1999,0.2,0.08164965809277261,1,15,NA
Hart North,2006,0.2565789473684211,0.031601758776667994,1,16,NA
Hart North,2005,0.19298245614035087,0.04785705242797499,1,16,NA
Hart South,2020,0.18666666666666668,0.023711256060685484,1,17,NA
Hart South,2019,0.22395833333333331,0.02719519656146189,1,17,NA
Hart South,2016,0.152046783625731,0.02558240980528791,1,17,NA
Hart South,2013,0.15246636771300448,0.02242326946152139,1,17,NA
Hart South,2012,0.1262135922330097,0.017801888813050445,1,17,NA
Hart South,2010,0.11194029850746268,0.018264432380805863,1,17,NA
Hart South,2006,0.19444444444444445,0.02011824235938224,1,17,NA
Hart South,2005,0.2185430463576159,0.0215425503646366,1,17,NA
Hart South,2002,0.21145374449339208,0.02462379177898816,1,17,NA
Itcha-Ilgachuz,2019,0.11294117647058824,0.014553645542589654,3,18,NA
Itcha-Ilgachuz,2018,0.3466248037676609,0.02165411907189628,3,18,NA
Itcha-Ilgachuz,2015,0.045700004462891054,0.013009606524300244,1,18,NA
Itcha-Ilgachuz,2014,0.06753246753246753,0.00660326126148157,1,18,NA
Itcha-Ilgachuz,2013,0.07506450856204551,0.011123331869822308,1,18,NA
Itcha-Ilgachuz,2012,0.0999902353285812,0.008244360520755792,1,18,NA
Itcha-Ilgachuz,2011,0.3538156590683845,0.012937232706128655,3,18,NA
Itcha-Ilgachuz,2010,0.2677165354330709,0.009678155544267066,3,18,NA
Itcha-Ilgachuz,2008,0.31952662721893493,0.011039811814910944,3,18,NA
Itcha-Ilgachuz,2004,0.0937598986379474,0.016558732128122155,1,18,NA
Itcha-Ilgachuz,2003,0.18068887634105024,0.007500712601547329,1,18,NA
Itcha-Ilgachuz,2002,0.18087611869995288,0.007414556982184851,1,18,NA
Itcha-Ilgachuz,2001,0.15063253898205353,0.007640257951860805,1,18,NA
Itcha-Ilgachuz,2000,0.16623376623376623,0.007244047329500045,1,18,NA
Itcha-Ilgachuz,1999,0.17316017316017315,0.007502685652383626,1,18,NA
Itcha-Ilgachuz,1998,0.12894768782619248,0.006226326577999103,1,18,NA
Itcha-Ilgachuz,1997,0.16531534763578962,0.00803008798681152,1,18,NA
Itcha-Ilgachuz,1996,0.2252199413489736,0.009441636815762992,1,18,NA
Itcha-Ilgachuz,1995,0.1310132625994695,0.009397571571810264,2,18,NA
Itcha-Ilgachuz,1993,0.3614595210946408,0.01390342786097448,3,18,NA
Itcha-Ilgachuz,1992,0.26846846846846845,0.011810324772864122,3,18,NA
Itcha-Ilgachuz,1991,0.3728813559322034,0.013873053204330214,3,18,NA
Itcha-Ilgachuz,1990,0.3702830188679245,0.014165650948211253,3,18,NA
Itcha-Ilgachuz,1988,0.16821273964131106,0.014469562063935784,1,18,NA
Itcha-Ilgachuz,1989,0.3163064833005894,0.01674779316134223,3,18,NA
Itcha-Ilgachuz,1987,0.22482435597189696,0.011115773389982368,1,18,NA
Itcha-Ilgachuz,1986,0.2735483870967742,0.011717106837847846,1,18,NA
Itcha-Ilgachuz,1985,0.192,0.012317850995905277,1,18,NA
Kennedy Siding,2014,0.0755608028335301,0.08298826628866153,1,19,NA
Kennedy Siding,2013,0.10841332580463016,0.06604821959241304,1,19,NA
Kennedy Siding,2012,0.17142857142857143,0.05885924017778028,1,19,NA
Kennedy Siding,2011,0.0435374149659864,0.03210475535539248,1,19,NA
Kennedy Siding,2010,0.11294117647058824,0.06141195788629908,1,19,NA
Kennedy Siding,2009,0.05936920222634508,0.033248190580402244,1,19,NA
Kennedy Siding,2007,0.13718320514437018,0.0338879922090597,1,19,NA
Kennedy Siding,2006,0.17731601731601732,0.04294415261942241,1,19,NA
Kennedy Siding,2005,0.06926406926406925,0.038327758791991656,1,19,NA
Kennedy Siding,2004,0.12521739130434784,0.04921529567847503,1,19,NA
Kennedy Siding,2003,0.22001527883880825,0.0672787810290903,1,19,NA
Kennedy Siding,1992,0.19423503325942357,0.03925394515626877,1,19,NA
Klinse-Za,2013,0.11873840445269015,0.12371791482634838,1,20,NA
Klinse-Za,2012,0.13636363636363635,0.06863485850246136,1,20,NA
Klinse-Za,2011,0.050373868555686735,0.04033182579689045,1,20,NA
Klinse-Za,2010,0.128,0.06120805589687156,1,20,NA
Klinse-Za,2009,0.11873840445269015,0.05050762722761053,1,20,NA
Klinse-Za,2008,0.19556913674560733,0.06545278120755138,1,20,NA
Klinse-Za,2007,0.10389610389610388,0.1102396379610246,1,20,NA
Klinse-Za,2006,0.20779220779220775,0.19364916731037085,1,20,NA
Klinse-Za,2005,0.26811897779639715,0.07300557488378943,1,20,NA
Klinse-Za,2004,0.15584415584415584,0.08954379992642236,1,20,NA
Klinse-Za,2003,0.132987012987013,0.06807703547174106,1,20,NA
Klinse-Za,2002,0.04889228418640183,0.0554593553871802,1,20,NA
Klinse-Za,1996,0.08374384236453201,0.01867555660975992,1,20,NA
Maligne,2014,0,0,2,21,NA
Maligne,2013,0.2,0.16329931618554522,2,21,NA
Maligne,2010,0.3333333333333333,0.23570226039551584,2,21,NA
Maligne,2009,0.3333333333333333,0.23570226039551584,2,21,NA
Maligne,2008,0,0,2,21,NA
Maligne,2007,0.4,0.1851640199545103,2,21,NA
Maligne,2006,0.14285714285714285,0.12371791482634838,2,21,NA
Maligne,2005,0.16666666666666666,0.14085904245475278,2,21,NA
Maligne,2004,0.26666666666666666,0.10145145470035762,2,21,NA
Maligne,2002,0.5,0.14433756729740643,2,21,NA
Maligne,2001,0.17142857142857143,0.05885924017778028,2,21,NA
Maligne,1999,0.2830188679245283,0.05462696871176343,2,21,NA
Maligne,1997,0.08108108108108109,0.04315870114235489,2,21,NA
Maligne,1994,0.3225806451612903,0.07300557488378943,2,21,NA
Monashee,2008,0.25,0.19364916731037085,1,22,NA
Monashee,2006,0.16666666666666666,0.14085904245475278,1,22,NA
Monashee,2004,0.16666666666666666,0.14085904245475278,1,22,NA
Monashee,2002,0,0,1,22,NA
Monashee,1994,0.42857142857142855,0.1564921592871903,1,22,NA
Nakusp,2020,0.09090909090909093,0.08298826628866153,1,23,NA
Nakusp,2019,0.043478260869565216,0.0416272655546234,1,23,NA
Nakusp,2018,0.14814814814814814,0.06380420512697103,1,23,NA
Nakusp,2017,0.07407407407407407,0.048632012170267615,1,23,NA
Nakusp,2016,0.06060606060606061,0.04033182579689045,1,23,NA
Nakusp,2015,0.13157894736842105,0.05154946325884813,1,23,NA
Nakusp,2014,0.1904761904761905,0.05553287518900286,1,23,NA
Nakusp,2012,0.11842105263157894,0.03504576955676639,1,23,NA
Nakusp,2010,0.18461538461538465,0.04421502130288148,1,23,NA
Nakusp,2008,0.18055555555555555,0.04172109734521828,1,23,NA
Nakusp,2007,0.18,0.05001694628077805,1,23,NA
Nakusp,2006,0.3703703703703704,0.05613643600724706,1,23,NA
Nakusp,2005,0.2711864406779661,0.05133476470779908,1,23,NA
Nakusp,2004,0.22807017543859648,0.050150369677316335,1,23,NA
Nakusp,2002,0.1875,0.04477189996321118,1,23,NA
Nakusp,1999,0.07857142857142857,0.02189649933974803,1,23,NA
Nakusp,1997,0.07471264367816093,0.019227134423600783,1,23,NA
Nakusp,1996,0.10967741935483873,0.02382692963445441,1,23,NA
Nakusp,1995,0.16216216216216217,0.05621089758720647,1,23,NA
Nakusp,1994,0.12121212121212122,0.02682774668985946,1,23,NA
Narraway AB,2016,0.17498291182501707,0.08500766874602614,1,24,NA
Narraway AB,2015,0.1434977578475336,0.06299407883487121,1,24,NA
Narraway AB,2014,0.06784452296819789,0.04315870114235489,1,24,NA
Narraway AB,2013,0.06095238095238095,0.03380853781670873,1,24,NA
Narraway AB,2012,0.07766990291262135,0.044444444444444446,1,24,NA
Narraway AB,2011,0.11232011232011233,0.03730084104553266,1,24,NA
Narraway AB,2010,0.16127156425663888,0.04421287535402575,1,24,NA
Narraway AB,2009,0.11688311688311688,0.04068751775455708,1,24,NA
Narraway AB,2008,0.012787212787212787,0.015149721966687109,1,24,NA
Narraway AB,2007,0.01859114015976761,0.01386206560167344,1,24,NA
Narraway AB,2006,0.11277533039647576,0.03604018817446848,1,24,NA
Narraway AB,2005,0.09110320284697508,0.049690399499995326,1,24,NA
Narrow Lake,2018,0.15384615384615383,0.09315847243376896,1,26,NA
Narrow Lake,2017,0.3333333333333333,0.10540925533894598,1,26,NA
