herd,year,age,sex,mu,tau
31,27,NA,NA,73,0.008340109672442194
31,28,NA,NA,111,0.003607210814418022
31,29,NA,NA,98,0.0046277014207043365
31,30,NA,NA,96,0.0048225308641975315
31,31,NA,NA,57,0.013679422728360867
31,32,NA,NA,45,0.02194787379972565
31,51,NA,NA,24,0.0771604938271605
33,37,NA,NA,34,0.03844675124951942
33,38,NA,NA,41,0.026439288783131742
33,39,NA,NA,46,0.02100399075824407
33,40,NA,NA,46,0.02100399075824407
34,48,NA,NA,44,0.022956841138659322
35,13,NA,NA,71,0.008816592827701733
35,15,NA,NA,67,0.00990074503106359
35,18,NA,NA,40,0.027777777777777776
35,27,NA,NA,13,0.26298487836949375
35,35,NA,NA,74,0.008116224332440549
35,36,NA,NA,56,0.014172335600907028
35,37,NA,NA,76,0.007694675284702985
35,38,NA,NA,83,0.006451508846631507
35,39,NA,NA,71,0.008816592827701733
35,40,NA,NA,44,0.022956841138659322
35,41,NA,NA,22,0.09182736455463729
35,42,NA,NA,26,0.06574621959237344
35,43,NA,NA,10,0.4444444444444444
35,44,NA,NA,11,0.36730945821854916
35,45,NA,NA,15,0.19753086419753085
35,49,NA,NA,22,0.09182736455463729
35,50,NA,NA,25,0.07111111111111111
36,34,NA,NA,60,0.012345679012345678
36,35,NA,NA,62,0.011562030292519369
36,36,NA,NA,67,0.00990074503106359
36,37,NA,NA,76,0.007694675284702985
36,38,NA,NA,74,0.008116224332440549
36,39,NA,NA,101,0.004356871330697427
36,40,NA,NA,100,0.0044444444444444444
36,41,NA,NA,85,0.006151480199923107
36,42,NA,NA,79,0.0071213658779753965
36,43,NA,NA,50,0.017777777777777778
36,44,NA,NA,55,0.014692378328741965
36,45,NA,NA,58,0.013211784912141629
36,46,NA,NA,41,0.026439288783131742
36,47,NA,NA,38,0.03077870113881194
36,48,NA,NA,41,0.026439288783131742
36,49,NA,NA,49,0.018510805682817346
36,50,NA,NA,38,0.03077870113881194
38,24,NA,NA,216,9.525986892242037e-4
38,25,NA,NA,249,7.168343162923895e-4
38,26,NA,NA,243,7.526705692635685e-4
38,27,NA,NA,231,8.329012658016987e-4
38,29,NA,NA,184,0.0013127494223902543
38,30,NA,NA,151,0.0019492322461490484
38,31,NA,NA,148,0.0020290560831101373
38,32,NA,NA,154,0.0018740278480538224
40,38,NA,NA,375,3.160493827160494e-4
40,39,NA,NA,349,3.643717112962234e-4
40,40,NA,NA,378,3.110526332160665e-4
40,41,NA,NA,341,3.8221587743865677e-4
40,47,NA,NA,270,6.096631611034903e-4
40,49,NA,NA,233,8.133661467195569e-4
40,50,NA,NA,253,6.943468019254238e-4
