herd,year,ECCC,herd_num,dist.hum,dist.nat,dist.all,dist.hum.es,dist.cuts,grow.seas.length,snow.depth,cooler.winter,warm.dry.summer,start.spring,rain.on.snow,greenness,dist.hum_scale,dist.nat_scale,dist.all_scale,dist.hum.es_scale,dist.cuts_scale,grow.seas.length_scale,snow.depth_scale,cooler.winter_scale,warm.dry.summer_scale,start.spring_scale,rain.on.snow_scale,greenness_scale,yr_idx
Redrock/Prairie Creek,2013,Central Group,32,0.11986873703887414,0.00311304811860774,0.12298178515748188,0.1188903504872503,0.11795409541366764,133.27204894791845,388.1025220116547,371.2674472397313,-166.66513411459172,174.99910461125225,3.139684373983545,672.8717948717949,0.07329375962056346,-0.5381861982146002,-0.0837795786469068,0.0873624643689999,0.16057686632379845,-0.21127575726218417,-0.6984191705422697,-0.43534381402167266,-1.6775943170836662,0.9124730866594767,-0.8604359925500088,0.3232046408607876,44
Redrock/Prairie Creek,2014,Central Group,32,0.11936315929909508,0.00311772939429542,0.12248088869339052,0.11876863732762746,0.11805708347187192,140.9764214296373,438.28697209370057,417.4442783250077,-115.9723513258668,157.7594388897181,8.377740059947502,692.5629921259842,0.06980087496079425,-0.5380741161286863,-0.08731517891798923,0.08652106800477734,0.16128670229033348,0.1571679510200655,-0.4797020667194837,-0.07652868426879783,-0.6747600573148445,-0.43898685683922034,-0.09890442781335519,0.5306268914185577,45
Redrock/Prairie Creek,2015,Central Group,32,0.11889503176230512,0.00311772939444673,0.12201276115675189,0.11845031060248716,0.11806644602254218,139.03447246679622,327.1987763020446,288.6202788468639,-115.74374876985172,162.8895687210865,5.844498212415572,677.8389830508473,0.06656672249833866,-0.5380741161250635,-0.09061947823749655,0.08432049289853656,0.1613512328322248,0.06429875513658602,-0.9638537992327807,-1.0775501706213575,-0.6702377079303551,-0.036823318170261306,-0.46719826500503503,0.37552778494100875,46
Redrock/Prairie Creek,2016,Central Group,32,0.12754134736454692,0.00311772939452131,0.13065907675906824,0.12708258237861264,0.12688128753782504,145.67363080137355,210.32577227279853,297.8689324701686,-74.95429963661873,168.97060140277543,2.49362608789866,634.0423076923076,0.12630151846421941,-0.5380741161232778,-0.029589069801956,0.14399491191715352,0.2221067384311601,0.38180107248546613,-1.4732172557328382,-1.0056838954376628,0.13668301682815645,0.4398838417686671,-0.9543627865762091,-0.08581566982955464,47
Redrock/Prairie Creek,2017,Central Group,32,0.12796266214774366,0.0032160361769951102,0.13117869832473875,0.12767242307481,0.12763497287185965,151.1968362930911,387.9606028950967,462.06491541164417,-150.5859826273958,168.77316818385378,4.902892636596438,NA,0.12921225568102201,-0.535720392485905,-0.025921297557291428,0.1480724481407538,0.22730144708841563,0.6459355386995526,-0.6990376915801588,0.27019410526888477,-1.3595071438744784,0.4244065644711542,-0.6040930233864251,NA,48
Redrock/Prairie Creek,2018,Central Group,32,0.12841674585835694,0.02419751237022235,0.1526142582285793,0.12813118806075116,0.12809841913346823,141.83942695120072,306.6055812565389,471.20860956454993,-66.81453896517424,147.91463960602917,1.6811599436638762,NA,0.13234938356909978,-0.03336851787200431,0.1253825682911183,0.15124386520362232,0.23049570893568172,0.19843918438623132,-1.0536043887370412,0.3412447972887971,0.2977085202349053,-1.2107449697051267,-1.0724826866323705,NA,49
Redrock/Prairie Creek,2019,Central Group,32,0.13799931653383307,0.02414133706585725,0.16214065359969032,0.13772312128739278,0.13769035235956148,131.98716609461334,306.72048947917443,499.8700091997508,-106.49435540720624,147.0816296075216,1.993535805857567,NA,0.19855248445750415,-0.034713502809905115,0.19262505944672584,0.2175523709376853,0.296607249547291,-0.27272229353795807,-1.0531035883174058,0.563957001381181,-0.48726080203040306,-1.2760466793612881,-1.02706811042621,NA,50
Redrock/Prairie Creek,2020,Central Group,32,0.1390432409404441,0.02414133706588711,0.1631845780063312,0.13891216523040403,0.13891216523040403,124.28174899268691,492.1471422175792,371.6904989952699,-144.49895248402987,173.63721832562342,2.020764869452093,NA,0.20576464444580536,-0.03471350280919015,0.19999364692878055,0.22577216618127874,0.30502848532182253,-0.6412159583538437,-0.24496520297706792,-0.43205650809382723,-1.2390899556239532,0.8057114595863621,-1.0231094294482628,NA,51
Redrock/Prairie Creek,2021,Central Group,32,0.14029782273916333,0.02419751236982545,0.16449533510898878,0.14029782273916333,0.14029782273916333,134.878077898821,361.3365169377754,340.2257541096991,-116.01727680985589,155.27771974332163,4.135567512910516,NA,0.2144321730460302,-0.03336851788150717,0.20924568502389085,0.23535114016848435,0.3145790055876348,-0.13447115524128436,-0.8150724984375428,-0.6765519889098991,-0.6756487994986918,-0.6335349456214281,-0.7156501234127015,NA,NA
Redrock/Prairie Creek,2022,Central Group,32,NA,NA,NA,NA,NA,138.13848679301566,599.3854648560165,437.7149162999507,-58.95013131756632,175.8543500970001,6.679318190025549,NA,NA,NA,NA,NA,NA,0.021450322639481618,0.222407764305556,0.08098345816732244,0.4532868291764161,0.9795178910377045,-0.3458284663741621,NA,NA
