i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totAdults,totAdults.lower,totAdults.upper,totN,totN.lower,totN.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
23,27,0.9634946739678361,0.6631054034368116,1.3125726299207625,0.10999188889665122,0.09224976465608159,0.12989897104566095,0.8546189064060952,0.8025184083508633,0.8949980006642375,100,88,114,108,96,121.04999999999995,177.7419296441413,155.69732049861355,211.62177445096373,0.9,median,qi,1999,Nakusp,Reference
23,28,0.8480804498411405,0.6151646147699384,1.2495665187611573,0.11941571595195813,0.09010131730769691,0.15398174606755322,0.8559389228803065,0.802167931506,0.8979550731070862,91,78,104,98,84,114,150.13179454194864,113.96193687984348,220.6561153199653,0.9,median,qi,2000,Nakusp,Reference
23,29,0.9259792672905345,0.6235804881106809,1.3641548680556028,0.16146434990896363,0.12183069991284734,0.2070002289011411,0.8569141100156602,0.7991769712399598,0.9013322509820376,82,70,97,91,77,108,140.56477604778644,105.24152375600278,198.1082629112308,0.9,median,qi,2001,Nakusp,Reference
23,30,0.8618031635762848,0.5969767003943222,1.242361458488268,0.12586609613564959,0.10576108242403938,0.14686034383906985,0.8427192451464485,0.7762534557330101,0.8871108898289627,76,65,91,82,70,98,121.42978692206519,96.44456709716036,166.65708356838965,0.9,median,qi,2002,Nakusp,Reference
23,31,0.9238376556338792,0.6366001205945339,1.3748042926747526,0.1024020561634767,0.07180164148700846,0.134685815209724,0.8528705535248182,0.7943818094264724,0.8918689559209219,68,56,80,73,60,86,113.60826675623666,82.69597009059126,157.86456464562144,0.9,median,qi,2003,Nakusp,Reference
23,32,0.8035618266346609,0.5412597429563711,1.1381595665716804,0.13931628980434368,0.1125245212461685,0.16784538342180294,0.852736415222981,0.8022392278016406,0.8953045287549082,60.5,50,71,65,55,76,90.43757436914049,73.09943156780838,113.0069937843331,0.9,median,qi,2004,Nakusp,Reference
23,33,1.0951262314574586,0.8674923617998662,1.3711214143263548,0.15592394073321036,0.13065249207209073,0.18083023599910727,0.8666826623029348,0.8248823707440971,0.9111374832858332,55,47,64,61,53,70,98.5513171153714,94.11775606245052,110.34127729163579,0.9,median,qi,2005,Nakusp,Reference
23,34,0.7877055696812335,0.6997795094910022,0.9389675286249725,0.15184193405213364,0.1308747003739942,0.17644197700348851,0.8707994196905355,0.8233142796544339,0.9128498213887963,52,45,60,57,49,65,77.48064434863704,73.76878852662365,91.96039727776389,0.9,median,qi,2006,Nakusp,Reference
23,35,0.81304429715832,0.6936381552345869,1.0601188989648844,0.11878024943513438,0.09233911136202196,0.14953683095083906,0.8625171078564682,0.8104918960756418,0.9037793342247168,49,42,56,52,45,60.049999999999955,63.84334501678363,58.885071758133066,86.25676526333814,0.9,median,qi,2007,Nakusp,Reference
23,36,1.3694954947805902,1.020247782449609,1.519023379787025,0.10053426012986591,0.0801978422006678,0.12051286766006478,0.8663764737960211,0.8203399281954938,0.908209571916763,46,39,54,50,43,58,86.45306518613802,84.66031335126513,94.5158850707869,0.9,median,qi,2008,Nakusp,Reference
23,37,0.8947133807777455,0.6428253471318798,1.3038988217051732,0.09769486994879034,0.07100141718635174,0.1275717033660401,0.8490000724609652,0.7876722869677841,0.8931123223974861,44,37,52,48,41,57,78.34912491641691,56.522750665558675,113.62223833798913,0.9,median,qi,2009,Nakusp,Reference
23,38,1.059694149151901,0.7212234054225904,1.538424154039786,0.09317093800528622,0.07567376064484063,0.11188980465996211,0.8535198075609932,0.7844960648472263,0.8947924883338022,41,34,50,45,38,54,82.01176670603513,76.73438660553279,98.49383942621965,0.9,median,qi,2010,Nakusp,Reference
23,39,0.7880855219059544,0.5559687235834175,1.177052284398968,0.09572108677504364,0.07698907252753631,0.11433600341103442,0.8635203832538673,0.812346962601806,0.9062911477377048,39,32,46,42,34.94999999999999,50,65.79519475353845,47.63921863489373,98.9787065122503,0.9,median,qi,2011,Nakusp,Reference
23,40,1.3378773865159324,0.8912615842728091,1.8564276029954148,0.10118635866808769,0.08403074264251724,0.11969824280259156,0.8649452451478084,0.8132486963205298,0.9094126613131055,36,29,44,40,33,48,86.41857000012024,84.64438247832048,94.33540357719956,0.9,median,qi,2012,Nakusp,Reference
23,41,0.6593777609532794,0.4798846437050063,0.9589141327883173,0.12190956949680157,0.10061878447002247,0.14576455673277255,0.8660291997263374,0.8101021213152987,0.9099631523409115,34,27,40.049999999999955,37,30,44,57.778301128635526,42.274849942578015,83.21984261944951,0.9,median,qi,2013,Nakusp,Reference
23,42,0.9078239256102321,0.6217041857336258,1.2826534545564865,0.09145839356192098,0.06888222033579121,0.11571224539740095,0.8578795540636828,0.7992416169074407,0.9007801864415744,31,25,37,33,27,39,51.05071220650249,49.612720433413514,60.03178350571859,0.9,median,qi,2014,Nakusp,Reference
23,43,0.8747438441486977,0.7573390657503482,1.0552894960567907,0.09667492938285735,0.07556269643385806,0.11942036766584532,0.8535732371408531,0.7926730352409733,0.8959268247175008,27,22,32,28,24,34,44.918512632722596,42.663521853134775,54.62431088101239,0.9,median,qi,2015,Nakusp,Reference
23,44,0.8183442107764891,0.683437083592174,1.0276995666962867,0.1225734713067278,0.099422658124750235,0.14684994964957304,0.859585814826408,0.7979525158856522,0.9030170316928157,23,18,27,24,20,28.049999999999955,37.06183973617952,34.67333128781869,46.44421205654589,0.9,median,qi,2016,Nakusp,Reference
23,45,0.9920965973982123,0.753912789717417,1.3231969378943793,0.14760781175406895,0.11836672412132639,0.1804694321207427,0.8643460644995027,0.8124266071823971,0.90473308113928,19,15,23,20,17,25.049999999999955,37.827644204946125,29.721293053266688,49.94313253300479,0.9,median,qi,2017,Nakusp,Reference
23,46,0.882901906226599,0.6688139067915273,1.1264936292220322,0.11307754175157966,0.09089736497027935,0.13751657639979864,0.8704172701569785,0.8309129176693354,0.9079439277621595,18,14,22,20,16,23.049999999999955,32.72505361877731,30.69827433846321,38.52159203314353,0.9,median,qi,2018,Nakusp,Reference
23,47,0.8143317427901282,0.6836651581390015,0.9472143260627685,0.14840880377570995,0.12452581103111984,0.17387425891906433,0.8794946079413399,0.8416041539779405,0.9166451942724632,17,14,20,18,15,22,26.647112369483423,24.702384697600728,31.21232293312998,0.9,median,qi,2019,Nakusp,Reference
