i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
40,11,0.9949842302737956,0.6455900199647192,1.5888594167277954,0.24313914659221336,0.22663785964638453,0.2587317250319385,0.8380197771647663,0.8277662963230025,0.8475227144751795,419.9477767932656,284.8151255146839,659.1412900502553,0.9,median,qi,1980,Wolverine,Reference
40,12,0.9893026081516443,0.6431825021744835,1.60786776457481,0.2400428928457765,0.224355713448885,0.25511309131498455,0.8447093095409939,0.8349530543890256,0.855554506837726,418.7649908296995,285.71599625987574,658.8312116559215,0.9,median,qi,1981,Wolverine,Reference
40,13,1.027607401491709,0.6569926716016133,1.525235120016883,0.2285430456963946,0.2130304496784818,0.2446847792991702,0.8492584168139125,0.8353425830278421,0.862914655440058,432.71135463352135,283.69183386294657,649.8117117202237,0.9,median,qi,1982,Wolverine,Reference
40,14,1.0158284582499257,0.6868672219839799,1.5614537243543312,0.24906035026131895,0.23268901615422286,0.26448583348752513,0.8337997185138698,0.8243478474000115,0.8424378615397101,439.7402125383147,295.48288274646484,689.5612341852564,0.9,median,qi,1983,Wolverine,Reference
40,15,0.9995769597467382,0.6647156440640957,1.6620699160506591,0.2418806775271194,0.2254792326952111,0.2573084965058691,0.840847062965344,0.8289640226678917,0.8527748534244969,444.815836404116,306.7907169770843,702.1937280326573,0.9,median,qi,1984,Wolverine,Reference
40,16,1.0084420534992249,0.65604004417308,1.5892395156737948,0.25338005620516413,0.23673657814515556,0.2691460381343128,0.8294405865462867,0.8186807476000764,0.8380795186733123,453.0831098005677,306.3879458788673,694.8044109973655,0.9,median,qi,1985,Wolverine,Reference
40,17,1.001844574739727,0.6606867077761345,1.5681809805760727,0.23800099373874445,0.22264955805893474,0.2531144648187756,0.842255863394993,0.8328238922506233,0.8522731165602969,457.06654175332005,310.3636766109782,695.3250267049333,0.9,median,qi,1986,Wolverine,Reference
40,18,1.0053140152560265,0.6744875814122628,1.574421630579932,0.24790776516429097,0.23212481736918095,0.26342278800259267,0.8349612554930242,0.825224391293056,0.8426334580988722,468.34655342396684,298.3448768048443,692.7418113413156,0.9,median,qi,1987,Wolverine,Reference
40,19,1.015284397447174,0.6570448488170514,1.5686585601122542,0.2511331600728992,0.23586137106264257,0.26687146433513165,0.8321656925728039,0.8222343490782542,0.8400146883253954,475.6814561825985,317.1591346839836,713.9884047006155,0.9,median,qi,1988,Wolverine,Reference
40,20,0.9756980503017544,0.661981441052455,1.5329792162443867,0.2406032604762496,0.22504773959278884,0.2554155051121228,0.8375443437145372,0.8290693480402639,0.845864584535107,464.6953393237113,320.787870157925,714.6064463176223,0.9,median,qi,1989,Wolverine,Reference
40,21,1.0123207018176719,0.6667154359098709,1.5515023935945023,0.23823680092191346,0.22290432041154157,0.2529259246395843,0.8394200535829638,0.8311597813239251,0.8473759168442977,476.79941539285613,322.1141849938673,699.5166175414516,0.9,median,qi,1990,Wolverine,Reference
40,22,1.00811974370996,0.6677225982517894,1.6488397116025937,0.238209124698992,0.22260790628856733,0.25317787808485986,0.8376237498841781,0.8292507147719653,0.8456006758490797,481.225128812221,322.950111746943,745.3719566979852,0.9,median,qi,1991,Wolverine,Reference
40,23,1.0146300617844233,0.6710812558267544,1.5958288245244912,0.24205569534077365,0.22718186065002724,0.25670562596356106,0.835515156890422,0.827449316281272,0.84267214935824,488.10560121623894,334.91169398213134,731.6238096111147,0.9,median,qi,1992,Wolverine,Reference
40,24,0.9978253504106109,0.6691646151191003,1.524938087261678,0.24803937318330016,0.2310489278540528,0.26454454194632804,0.8286134902867346,0.8141280024854309,0.8398795578423859,496.39552667987454,332.1429121032951,725.2539285987107,0.9,median,qi,1993,Wolverine,Reference
40,25,1.008041740205435,0.6704297773825736,1.6086768540489462,0.2261047353502786,0.21117898616429795,0.24137052005382334,0.8462053355051191,0.8332420027533342,0.8594891768006089,491.1543459131334,343.27919883543194,727.61276221326,0.9,median,qi,1994,Wolverine,Reference
40,26,0.9978959372759855,0.6480816343365045,1.609759447947972,0.24272776414612113,0.22710546354907393,0.25779522965495544,0.8315475451582148,0.8222888049811337,0.8396416611167713,497.986369947222,344.33648578970934,734.9577600439882,0.9,median,qi,1995,Wolverine,Reference
40,27,0.9975727009876565,0.6529754086798125,1.5668170026215582,0.2453995013299885,0.22966782883961212,0.2604801943557409,0.8314814157498596,0.8225840724293662,0.8391796675042855,497.8162697032807,357.9043104789051,734.3841741094428,0.9,median,qi,1996,Wolverine,Reference
